,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644373415642452,0.27632791939546647,0.66465654691689,0.32663907389512514,0.3137054120423103,0.5106561348865721,0.2776873405889889,0.7232582213740455,0.32934864887391324,0.5145202681528659,0.29556832587412635,0.7229500989304808,0.17638905674846622,0.17242221028037377,0.4258377064748202,0.7284567474576278,0.3288178407537404,0.6897934626865673,0.29520419747899207,0.35131634005240814,0.21238211607142857,0.7296347301038069,0.2951999321074969,0.4255013587674249,0.1342599053318825,0.6943526212121214,0.3033364507107896,0.6919165927835051,0.21662338222222224,0.7346838301526722,0.3646527661691542,0.2955701022727277,0.12434757565415243,0.5881018773513914
CASH_ADVANCE_FREQUENCY,0.13401668815642637,0.22426924055415612,0.09181311081322602,0.13054436705982791,0.1373131342554934,0.0874330245248313,0.22379535339308576,0.09738604325699754,0.11190192924277385,0.07586677770700635,0.2000082923076922,0.08339407486631015,0.4219758067484672,0.422058504672898,0.0771159287769784,0.08129086779661017,0.11303984463329043,0.0945273333333333,0.19951032633053206,0.09063663152590185,0.4403440714285712,0.08038341176470588,0.19730132814710036,0.07506075348495961,0.3758460348204575,0.08838380808080806,0.09793645187601932,0.0897766030927835,0.44209068888888864,0.07955026145038167,0.07686094651741303,0.19778698721590898,0.37898034015927234,0.06506447103085028
CASH_ADVANCE_TRX,3.0793296089385476,4.3639798488664985,2.4307417336907955,3.037515986926247,3.1982099267697315,2.058859595340282,4.35595390524968,2.9185750636132317,2.3858840219897144,1.7178343949044586,3.567832167832168,2.4331550802139037,12.190184049079754,12.202492211838006,1.669064748201439,2.0728813559322035,2.4147422870866433,2.8358208955223883,3.560224089635854,1.7790767990324532,13.410714285714286,2.038062283737024,3.5388967468175387,1.6089508437270725,10.17519042437432,2.5555555555555554,1.9212304824050337,2.6030927835051547,13.431111111111111,1.9809160305343512,1.6865671641791045,3.5511363636363638,10.294653014789533,1.3890142964635064
PURCHASES_TRX,14.151385474860328,5.261964735516373,53.087926720286085,8.962840699161575,6.8999186330349875,31.604034334763963,5.11651728553137,73.06035623409686,7.199148785245611,32.134509554140145,5.316083916083916,74.28398395721942,6.172561349693252,5.728971962616822,23.237410071942445,56.37767796610177,6.897653796416035,81.07995024875628,5.294117647058823,7.376133843983068,8.90625,56.67790657439454,5.30975954738331,23.406456346294938,3.754080522306855,81.81853535353541,5.350734094616639,81.83541237113408,9.115555555555556,57.723893129771064,24.645522388059703,5.259943181818182,3.4379977246871443,21.80625282167043
CREDIT_LIMIT,4474.254539811508,3029.8530646511335,7564.030384271671,4145.903765522239,4009.5550377658255,5822.108578117106,3009.7353819884765,9056.997455470739,3647.9626106784885,5765.674580196815,2610.494172493706,9074.598930481283,7915.957891802148,7933.340413481309,5219.970568999281,7256.949152542373,3612.4166195484945,9930.348258706468,2610.648926236695,3414.7539800340655,8947.341720781249,7274.567474048443,2596.8929750113157,5209.874608150403,6527.54805948531,9894.949494949495,3228.5377781542766,9956.185567010309,8934.242424244443,7286.354961832061,5560.7926277699,2581.6808712116476,6571.918847175199,4790.120923303988
PAYMENTS,1649.420363976092,803.042631308815,4269.70865029723,1328.2495990683826,1301.3440391776742,2112.4832105706932,791.9428449656842,6874.263762036131,922.760529792516,1993.5618280687913,564.4012570321681,6764.540853326733,5361.178500146931,5347.0306999769455,1518.6269088345327,3679.0018829979667,914.4091171444637,8433.044327641788,564.8145280014008,832.5821349610941,9698.135145532144,3608.068629703461,572.3559214681758,1542.007040473955,2408.4867786702926,8354.62506683939,702.6316158625009,8428.924678165975,9652.72966984978,3642.9627194858786,1493.6911519029843,568.2935803011368,2405.1692232980627,1742.8004903596702
MINIMUM_PAYMENTS,751.3929895262241,448.9588892138528,1007.4407178525103,744.8014402368863,751.3790289316087,717.0290442866938,445.9947240944931,1501.1370807267133,676.9543280600789,679.4418008736808,369.11502221376185,1486.8287132502614,1565.8082719614076,1574.0211040402462,613.1725601901571,988.8538740623047,680.9557889184011,1637.3431594610856,369.1770345067782,624.7994985655287,1639.3000533099978,998.2476084580618,366.0383793943986,604.1460211660442,1393.834685930442,1605.9210949228197,589.0089414942607,1628.0602211738055,1629.4911791130642,992.5291010435865,514.2625576412439,367.0020156347157,1397.125124436993,823.9698581056108
PRC_FULL_PAYMENT,0.1537146484916212,0.15612829974811085,0.28096564253798034,0.13320728719624944,0.12683409764035863,0.2147020324954017,0.1573735300896287,0.3136458829516541,0.130720958857954,0.2214946866242039,0.16692806713286715,0.3178029064171124,0.0807547607361965,0.07757336915887864,0.19259826834532387,0.26843450338983066,0.13045087530020366,0.3700094278606964,0.16716185994397761,0.14014791614593877,0.14558302678571428,0.26281953287197246,0.168816927864215,0.1950908415260456,0.03997213384113166,0.37351125252525236,0.13174500932183644,0.37648742783505135,0.14530635999999997,0.25286154198473276,0.23841182462686578,0.16740563636363637,0.04083531399317404,0.17062860270880364
TENURE,11.51731843575419,7.586901763224182,11.900804289544237,11.89981526218559,11.895524816924329,11.892703862660944,7.554417413572343,11.921119592875318,11.892356800851214,11.894267515923566,7.406993006993007,11.93048128342246,11.636503067484663,11.632398753894082,11.897122302158273,11.896610169491526,11.892111583225567,11.925373134328359,7.404761904761905,11.894376133843982,11.629464285714286,11.896193771626297,7.369165487977369,11.898019075568598,11.755168661588684,11.924242424242424,11.887904917268703,11.922680412371134,11.635555555555555,11.90648854961832,11.851990049751244,7.3664772727272725,11.745164960182025,11.933784800601956
MONTHLY_AVG_PURCHASE,80.55625751420833,51.886800663162816,342.1080740202358,42.200007133291095,31.683211270557525,168.4043160237301,51.20348407155519,538.4931577608145,32.62742256847608,171.31912389201383,53.37982376512381,548.2934875222818,38.026236277100544,36.576644233838174,125.21521464283116,321.1663809713358,30.427438629785833,652.7606083974061,53.29184654973104,32.1755913549932,68.011377749111,322.2522302223921,53.50901562605244,126.57803668749116,21.281698057836238,656.2850494337305,20.920181034300143,660.3792171196493,68.82100933621935,335.29335455288987,123.86331426830493,53.075531317640724,19.570822215327333,118.70877613227853
